IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
154.9.245.29,56414,443,true,HKG,Asia Pacific,Hong Kong,45,1.35
154.9.246.36,22546,443,true,HKG,Asia Pacific,Hong Kong,41,1.34
154.9.246.169,53819,443,true,HKG,Asia Pacific,Hong Kong,53,1.34
154.9.246.174,11937,443,true,HKG,Asia Pacific,Hong Kong,39,1.34
154.9.245.138,53787,443,true,HKG,Asia Pacific,Hong Kong,54,1.33
154.9.245.138,17677,443,true,HKG,Asia Pacific,Hong Kong,34,1.33
154.9.246.174,13637,443,true,HKG,Asia Pacific,Hong Kong,35,1.32
154.9.245.138,33246,443,true,HKG,Asia Pacific,Hong Kong,53,1.32
154.9.246.174,22516,443,true,HKG,Asia Pacific,Hong Kong,45,1.30
206.237.31.10,11359,443,true,HKG,Asia Pacific,Hong Kong,36,1.29
206.237.29.46,34869,443,true,HKG,Asia Pacific,Hong Kong,35,1.24
154.9.246.169,28067,443,true,HKG,Asia Pacific,Hong Kong,51,1.21
206.237.31.94,3443,443,true,HKG,Asia Pacific,Hong Kong,71,1.19
154.9.246.89,31005,443,true,HKG,Asia Pacific,Hong Kong,57,1.18
154.9.245.29,16703,443,true,HKG,Asia Pacific,Hong Kong,42,1.17
154.9.245.29,30216,443,true,HKG,Asia Pacific,Hong Kong,53,1.17
154.9.245.29,21341,443,true,HKG,Asia Pacific,Hong Kong,45,1.16
154.9.245.29,45903,443,true,HKG,Asia Pacific,Hong Kong,49,1.15
154.9.245.29,41686,443,true,HKG,Asia Pacific,Hong Kong,43,1.14
154.9.246.174,22396,443,true,HKG,Asia Pacific,Hong Kong,44,1.13
154.9.245.29,27483,443,true,HKG,Asia Pacific,Hong Kong,53,1.12
154.9.245.29,56044,443,true,HKG,Asia Pacific,Hong Kong,39,1.12
43.240.12.103,30397,443,true,HKG,Asia Pacific,Hong Kong,39,1.11
154.9.245.29,18241,443,true,HKG,Asia Pacific,Hong Kong,41,1.11
43.240.12.103,55909,443,true,HKG,Asia Pacific,Hong Kong,49,1.10
45.10.175.204,20729,443,true,HKG,Asia Pacific,Hong Kong,35,1.10
154.9.246.169,47851,443,true,HKG,Asia Pacific,Hong Kong,41,1.10
154.9.246.89,27061,443,true,HKG,Asia Pacific,Hong Kong,44,1.09
154.9.246.174,28263,443,true,HKG,Asia Pacific,Hong Kong,44,1.08
43.240.12.103,19034,443,true,HKG,Asia Pacific,Hong Kong,37,1.07
43.240.12.103,41310,443,true,HKG,Asia Pacific,Hong Kong,38,1.07
206.237.22.91,54119,443,true,HKG,Asia Pacific,Hong Kong,36,1.06
154.9.246.36,45564,443,true,HKG,Asia Pacific,Hong Kong,41,1.05
154.9.246.89,30387,443,true,HKG,Asia Pacific,Hong Kong,67,1.03
206.237.31.10,23860,443,true,HKG,Asia Pacific,Hong Kong,39,1.03
206.237.31.94,2443,443,true,HKG,Asia Pacific,Hong Kong,36,1.02
206.237.29.46,21020,443,true,HKG,Asia Pacific,Hong Kong,34,1.02
43.240.12.103,55404,443,true,HKG,Asia Pacific,Hong Kong,37,1.01
154.9.246.169,51269,443,true,HKG,Asia Pacific,Hong Kong,51,1.01
43.240.12.103,49287,443,true,HKG,Asia Pacific,Hong Kong,36,1.00
154.9.246.89,27053,443,true,HKG,Asia Pacific,Hong Kong,40,0.97
154.9.245.150,47475,443,true,HKG,Asia Pacific,Hong Kong,45,0.90
154.9.246.174,54707,443,true,HKG,Asia Pacific,Hong Kong,52,0.88
206.237.29.46,47305,443,true,HKG,Asia Pacific,Hong Kong,35,0.87
154.9.246.174,41482,443,true,HKG,Asia Pacific,Hong Kong,36,0.86
154.9.246.36,53117,443,true,HKG,Asia Pacific,Hong Kong,63,0.86
43.240.12.103,58034,443,true,HKG,Asia Pacific,Hong Kong,39,0.86
43.240.12.103,56441,443,true,HKG,Asia Pacific,Hong Kong,36,0.83
154.9.246.89,27013,443,true,HKG,Asia Pacific,Hong Kong,45,0.79
154.9.246.174,50121,443,true,HKG,Asia Pacific,Hong Kong,41,0.75
45.153.130.138,45708,443,true,HKG,Asia Pacific,Hong Kong,34,0.68
154.9.246.174,11404,443,true,HKG,Asia Pacific,Hong Kong,47,0.66
45.153.130.138,36919,443,true,HKG,Asia Pacific,Hong Kong,46,0.66
45.153.130.138,34636,443,true,HKG,Asia Pacific,Hong Kong,60,0.61
206.237.31.94,2443,443,true,HKG,Asia Pacific,Hong Kong,36,0.58
43.240.13.199,41846,443,true,HKG,Asia Pacific,Hong Kong,45,0.57
202.181.27.218,14526,443,true,HKG,Asia Pacific,Hong Kong,31,0.57
202.181.27.218,14526,443,true,HKG,Asia Pacific,Hong Kong,78,0.57
154.9.246.36,18732,443,true,HKG,Asia Pacific,Hong Kong,46,0.57
154.9.246.89,25122,443,true,HKG,Asia Pacific,Hong Kong,42,0.57
206.237.29.46,58601,443,true,HKG,Asia Pacific,Hong Kong,34,0.56
45.153.130.138,18602,443,true,HKG,Asia Pacific,Hong Kong,33,0.54
45.153.130.138,34636,443,true,HKG,Asia Pacific,Hong Kong,32,0.49
45.153.130.138,50375,443,true,HKG,Asia Pacific,Hong Kong,34,0.48
45.153.130.138,18602,443,true,HKG,Asia Pacific,Hong Kong,41,0.46
